id,timestamp,team1Name,team2Name,score,referees,linesmen,coachTeam1,coachTeam2,shotsPeriod1Team1,shotsPeriod1Team2,shotsPeriod2Team1,shotsPeriod2Team2,shotsPeriod3Team1,shotsPeriod3Team2,shotsOnGoalPeriod1Team1,shotsOnGoalPeriod1Team2,shotsOnGoalPeriod2Team1,shotsOnGoalPeriod2Team2,shotsOnGoalPeriod3Team1,shotsOnGoalPeriod3Team2,shotsOnGoalOvertimeTeam1,shotsOnGoalOvertimeTeam2,blockedShotsPeriod1Team1,blockedShotsPeriod1Team2,blockedShotsPeriod2Team1,blockedShotsPeriod2Team2,blockedShotsPeriod3Team1,blockedShotsPeriod3Team2,hitsPeriod1Team1,hitsPeriod1Team2,hitsPeriod2Team1,hitsPeriod2Team2,hitsPeriod3Team1,hitsPeriod3Team2,faceoffsWonPeriod1Team1,faceoffsWonPeriod1Team2,faceoffsWonPeriod2Team1,faceoffsWonPeriod2Team2,faceoffsWonPeriod3Team1,faceoffsWonPeriod3Team2,powerplayTimesTeam1,powerplayTimesTeam2,powerplayScoredTimesTeam1,powerplayScoredTimesTeam2,penaltykillTimesTeam1,penaltykillTimesTeam2,penaltykillAgainstTimesTeam1,penaltykillAgainstTimesTeam2,scored5vs5Team1,scored5vs5Team2,against5vs5Team1,against5vs5Team2,url
26,28.08.2015,Динамо Мск,Металлург Нк,1:1 1:1 2:1,"Главные судьи: Денис Бондарь, Виктор Гашилов","Линейные судьи: Дмитрий Голяк, Иван Дедюля",Тренер: Харийс Витолиньш,Тренер: Николай Соловьёв,24.0,14.0,15.0,20.0,26.0,15.0,11,5,11,14,17,9,0.0,0.0,7,5,8,2,6,2,5,8,3,4,1,2,12.0,10.0,14.0,12.0,9.0,9.0,6,4,2,1,4,6,1,2,2,2,2,2,http://www.khl.ru/game/309/45926/protocol/
31,29.08.2015,СКА,Торпедо,1:2 0:0 0:1,"Главные судьи: Роман Гофман, Алексей Раводин","Линейные судьи: Эдуард Метальников, Александр Сироткин",Тренер: Андрей Назаров,Тренер: Петерис Скудра,12.0,20.0,17.0,12.0,18.0,10.0,8,12,11,8,11,9,0.0,0.0,5,1,1,2,0,2,4,4,5,2,3,1,6.0,17.0,4.0,16.0,8.0,9.0,5,7,1,1,7,5,1,1,2,0,0,2,http://www.khl.ru/game/309/45928/protocol/
29,29.08.2015,Йокерит,ЦСКА,0:0 2:0 1:0,"Главные судьи: Алексей Анисимов, Константин Оленин","Линейные судьи: Глеб Лазарев, Александр Нестеров",Тренер: Эркка Вестерлунд,Тренер: Дмитрий Квартальнов,17.0,18.0,9.0,26.0,12.0,25.0,7,9,6,14,8,13,0.0,0.0,2,1,2,0,2,1,7,7,4,7,4,9,14.0,8.0,11.0,10.0,14.0,11.0,7,5,2,0,5,7,0,2,1,0,0,1,http://www.khl.ru/game/309/45929/protocol/
27,28.08.2015,Слован,Амур,0:0 0:0 0:1,"Главные судьи: Владимир Букин, Андрей Рогачёв","Линейные судьи: Алексей Майтак, Евгений Пронских",Тренер: Милош Ржига,Тренер: Сергей Шепелев,28.0,7.0,16.0,10.0,15.0,15.0,22,3,12,4,5,7,0.0,0.0,2,6,6,3,5,3,5,3,3,3,3,1,12.0,7.0,11.0,9.0,10.0,8.0,5,3,1,0,3,5,0,1,0,0,0,0,http://www.khl.ru/game/309/45925/protocol/
30,29.08.2015,Локомотив,Ак Барс,0:0 1:1 2:0,"Главные судьи: Вячеслав Буланов, Михаил Бутурлин","Линейные судьи: Андрей Матюша, Иван Сазонов",Тренер: Алексей Кудашов,Тренер: Зинэтула Билялетдинов,20.0,12.0,10.0,24.0,23.0,18.0,11,10,5,15,15,6,0.0,0.0,1,5,7,4,6,6,6,8,7,10,2,6,8.0,6.0,8.0,12.0,11.0,8.0,3,6,1,0,6,3,0,1,2,1,1,2,http://www.khl.ru/game/309/45930/protocol/
28,28.08.2015,Медвешчак,Адмирал,1:0 1:1 1:0,"Главные судьи: Владислав Киселёв, Яков Деев","Линейные судьи: Константин Горденко, Виктор Томилов",Тренер: Горди Дуайер,Тренер: Александр Андриевский,27.0,14.0,21.0,12.0,13.0,23.0,14,7,14,6,9,12,0.0,0.0,1,5,3,4,3,3,6,5,4,8,2,4,13.0,8.0,17.0,10.0,11.0,11.0,4,5,1,0,5,4,0,1,3,0,0,3,http://www.khl.ru/game/309/45927/protocol/
25,28.08.2015,Витязь,Сибирь,0:5 1:0 0:0,"Главные судьи: Евгений Гамалей, Александр Сергеев","Линейные судьи: Пётр Алёшин, Юрий Иванов",Тренер: Олег Ореховский,Тренер: Андрей Скабелка,14.0,27.0,25.0,20.0,14.0,16.0,6,17,13,12,7,5,0.0,0.0,3,4,4,7,3,1,7,3,6,1,2,1,11.0,11.0,12.0,7.0,10.0,9.0,6,2,1,0,2,6,0,1,4,1,1,4,http://www.khl.ru/game/309/45924/protocol/
24,28.08.2015,Нефтехимик,Автомобилист,1:0 0:2 0:0,"Главные судьи: Эдуард Одиньш, Рафаэль Кадыров","Линейные судьи: Дмитрий Парфёнов, Роман Шиханов",Тренер: Владимир Крикунов,Тренер: Андрей Разин,22.0,19.0,12.0,22.0,23.0,10.0,8,11,2,15,6,3,0.0,0.0,3,7,5,7,3,10,12,7,8,1,5,1,14.0,6.0,17.0,8.0,7.0,7.0,1,2,0,0,2,1,0,0,2,1,1,2,http://www.khl.ru/game/309/45923/protocol/
18,27.08.2015,Локомотив,Лада,1:0 1:0 0:0,"Главные судьи: Денис Бондарь, Ильдар Сафиуллов","Линейные судьи: Пётр Алёшин, Юрий Иванов",Тренер: Алексей Кудашов,Тренер: Сергей Светлов,21.0,8.0,29.0,5.0,18.0,12.0,12,8,15,2,7,6,0.0,0.0,0,4,2,9,3,3,9,6,4,8,8,6,8.0,8.0,12.0,6.0,7.0,5.0,2,2,0,0,2,2,0,0,2,0,0,2,http://www.khl.ru/game/309/45918/protocol/
23,28.08.2015,Трактор,Югра,0:2 3:1 0:2,"Главные судьи: Антон Лаврентьев, Роман Щенёв","Линейные судьи: Дмитрий Головлёв, Сергей Мисюрь",Тренер: Андрей Николишин,Тренер: Павел Езовских,16.0,14.0,32.0,8.0,14.0,18.0,7,10,21,3,10,12,0.0,0.0,3,6,1,9,1,1,1,3,4,3,5,2,9.0,8.0,13.0,14.0,7.0,6.0,3,3,1,1,3,3,1,1,4,2,2,4,http://www.khl.ru/game/309/45922/protocol/
